State,Category,Year,AverageUnitPrice
Florida,Grains,2022.0,2.980489629659052
Florida,"Meats, eggs, and nuts",2019.0,4.964438961077572
Florida,"Meats, eggs, and nuts",2020.0,5.19695748919471
Florida,"Meats, eggs, and nuts",2021.0,5.442715353351297
Florida,"Meats, eggs, and nuts",2022.0,5.964919851215411
Florida,Sugar and sweeteners,2019.0,3.1984974291184853
Florida,Sugar and sweeteners,2020.0,3.6617606641750178
Florida,Sugar and sweeteners,2021.0,3.814738927020151
Florida,Sugar and sweeteners,2022.0,4.24435995143573
Florida,Vegetables,2019.0,2.063126048673119
Florida,Vegetables,2020.0,2.1381998652502427
Florida,Vegetables,2021.0,2.185626183410295
Florida,Vegetables,2022.0,2.378664928390188
Georgia,Alcohol,2019.0,6.629534710244082
Georgia,Alcohol,2020.0,6.971731525614197
Georgia,Alcohol,2021.0,7.111776990111159
Georgia,Alcohol,2022.0,7.409430151187689
Georgia,Beverages,2019.0,2.4001404948494836
Georgia,Beverages,2020.0,2.4806294853461357
Georgia,Beverages,2021.0,2.6526949471645582
Georgia,Beverages,2022.0,2.9880536307113936
Georgia,Commercially prepared items,2019.0,2.5061629671910293
Georgia,Commercially prepared items,2020.0,2.606810542380766
Georgia,Commercially prepared items,2021.0,2.7771213039482796
Georgia,Commercially prepared items,2022.0,3.188489097842813
Georgia,Dairy,2019.0,2.718376138244624
Georgia,Dairy,2020.0,2.822129582491857
Georgia,Dairy,2021.0,2.9029876180706444
Georgia,Dairy,2022.0,3.2878026711173507
Georgia,Fats and oils,2019.0,3.4093548202935016
Georgia,Fats and oils,2020.0,3.5368233836911807
Georgia,Fats and oils,2021.0,3.818821567421859
Georgia,Fats and oils,2022.0,4.83490814089857
Georgia,Fruits,2019.0,2.488052358614048
Georgia,Fruits,2020.0,2.545298100583175
Georgia,Fruits,2021.0,2.7016849618784486
Georgia,Fruits,2022.0,2.9745092119591607
Georgia,Grains,2019.0,2.2277092215955516
Georgia,Grains,2020.0,2.321854667167315
Georgia,Grains,2021.0,2.4258258753528343
Georgia,Grains,2022.0,2.7859442117736157
Georgia,"Meats, eggs, and nuts",2019.0,4.274152499361299
Georgia,"Meats, eggs, and nuts",2020.0,4.509362737908654
